id	name	type	maintenance_responsibility	park	street	image	neighborhood	council_district	ward	tract	public_works_division	pli_division	police_zone	fire_zone	latitude	longitude
175255398	Highland Park Super Playground		Parks - Northeast	Highland Park	RESERVOIR DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/Highland_Park_Super_Playground.jpg	Highland Park	7	11	42003980100	2	11	5	3-9	40.48051978	-79.91828162
252444280	Jefferson Playground		Parks - Northern	Jefferson Park	W JEFFERSON ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Jefferson_Playground.jpg	Central Northside	6	25	42003250300	1	25	1	1-21	40.45908991	-80.01453182
189445771	Joe Natoli Playground		Parks - Northeast	Joe Natoli Park	PRESIDENT WAY	https://tools.wprdc.org/images/pittsburgh/playgrounds/Joe_Natoli_Playground.jpg	Morningside	7	10	42003101400	2	10	5	3-7	40.48456385	-79.92602477
1897804015	Kennard Playground		Parks - Schenley	Kennard Park	KIRKPATRICK ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Kennard_Playground.jpg	Terrace Village	6	5	42003051000	3	5	2	2-10	40.44348406	-79.97391648
438041702	Larimer Playground		Parks - Eastern	Larimer Park	LENORA ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Larimer_Playground.jpg	Larimer	9	12	42003120400	2	12	5	3-12	40.46675097	-79.91340852
1427318856	Lawn & Ophelia Playground		Parks - Schenley	Lawn and Ophelia Park	OPHELIA ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Lawn_&_Ophelia_Playground.jpg	South Oakland	6	4	42003040900	3	4	4	2-10	40.43543415	-79.96526185
561282176	Leolyn Playground		Parks - Southern	Leolyn Park	LEOLYN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Leolyn_Playground.jpg	Carrick	4	29	42003290200	3	29	3	4-12	40.39926312	-79.98605575
634645752	Leslie Playground		Parks - Northeast	Leslie Park	46TH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Leslie_Playground.jpg	Central Lawrenceville	7	9	42003090200	2	9	2	3-3	40.47266815	-79.95811005
1213033315	Lewis Playground		Parks - Schenley	Lewis Park	IRVINE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Lewis_Playground.jpg	Hazelwood	5	15	42003562900	3	15	4	2-13	40.41283776	-79.94467924
476088153	Lincoln Place Playground		Parks - Southern	Lincoln Place Park	COX AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Lincoln_Place_Playground.jpg	Lincoln Place	5	31	42003310200	3	31	4	4-20	40.3699812	-79.91744051
2033291368	Lookout Street Playground		Parks - Northern	Lookout Street Park	LOOKOUT ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Lookout_Street_Playground.jpg	Troy Hill	1	24	42003240600	1	24	1	1-2	40.46932425	-79.97692221
1885004322	Magee Playground		Parks - Schenley	Magee Park	GREENFIELD AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Magee_Playground.jpg	Greenfield	5	15	42003151700	3	15	4	2-15	40.42449028	-79.93723017
273319228	Manchester Playground		Parks - Northern	Manchester Park	FULTON ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Manchester_Playground.jpg	Manchester	6	21	42003210700	1	21	1	1-8	40.45850933	-80.02580235
10851838	Marmaduke Playground		Parks - Northern	Marmaduke Park	OSWALD ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Marmaduke_Playground.jpg	Brighton Heights	1	27	42003270100	1	27	1	1-14	40.48441823	-80.04234923
590202695	Marshall-California Playground		Parks - Northern	Marshall-California Park	ATMORE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Marshall-California_Playground.jpg	Marshall-Shadeland	1	27	42003270400	1	27	1	1-9	40.46256551	-80.03045734
1371171404	McBride Playground		Parks - Southern	McBride Park	MCBRIDE AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/McBride_Playground.jpg	Lincoln Place	5	31	42003310200	3	31	4	4-20	40.37043097	-79.90732235
278550634	McCandless Playground		Parks - Northeast	McCandless Park	MCCANDLESS AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/McCandless_Playground.jpg	Upper Lawrenceville	7	10	42003101100	2	10	2	3-5	40.48075413	-79.95262867
1097984790	McGonigle Playground		Parks - Western	McGonigle Park	ALLENDALE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/McGonigle_Playground.jpg	Sheraden	2	20	42003562500	5	20	6	1-16	40.45976771	-80.06513649
481264091	McKinley Bausman Playground		Parks - Southern	McKinley Park	BAUSMAN ST		Beltzhoover	4	18	42003562400	5	18	3	4-7	40.41295815	-79.99806744
430851645	McKinley Playground		Parks - Southern	McKinley Park	AMESBURY ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/McKinley_Playground.jpg	Beltzhoover	4	18	42003562400	5	18	3	4-16	40.41391214	-80.00443968
1633349721	McKnight Playground		Parks - Northern	McKnight Park	PAGE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/McKnight_Playground.jpg	Manchester	6	21	42003210700	1	21	1	1-8	40.45207202	-80.02265249
1848275119	Mellon Playground		Parks - Eastern	Mellon Park	FIFTH AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Mellon_Playground.jpg	Shadyside	8	7	42003070800	2	7	4	3-13	40.45390687	-79.91580057
1340656731	Monongahela Playground		Parks - Southern	Monongahela Park	JOSEPHINE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Monongahela_Playground.jpg	South Side Slopes	3	16	42003160800	3	16	3	4-22	40.42190164	-79.96574322
850398741	Moore Playground		Parks - Southern	Moore Park	PIONEER AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Moore_Playground.jpg	Brookline	4	19	42003191700	5	19	6	4-26	40.40529779	-80.01434121
1454599314	Mt. Washington Playground		Parks - Western	Emerald View Park - Mt. Washington Park	NORTON ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Mt._Washington_Playground.jpg	Mount Washington	2	19	42003191400	5	19	3	4-27	40.42462203	-80.01318416
391249223	Mutual Playground		Parks - Western	Mutual Park	MUTUAL ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Mutual_Playground.jpg	Sheraden	2	20	42003202200	5	20	6	1-16	40.45215663	-80.06403924
